dataset,station,sim,template,csv_path,meta_path,fs,n_samples
experiment,EC1,sim1,template1,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim1,template2,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim1,template3,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC1,sim1,template4,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim1_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC1,sim2,template1,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim2,template2,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim2,template3,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC1,sim2,template4,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim2_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC1,sim3,template1,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim3,template2,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim3,template3,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC1,sim3,template4,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim3_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
